Category,Description
IT,30357 | CONDOR POWER PRODUCTS (P) LTD. | N.A(N.A) | Bug rectification
Training,Tranning
IT,30373 | M.Engineering Tools | N.A(N.A) | Bug rectification
IT,Backup - 09 Aug 23
IT,30320 | Siddhi International | Stock at wip statement(Report) | Bug rectification
IT,30321 | Alumex International | Account Master(Modu
IT,30323 | INTALIO PRIVATE LIMITED | N.A(N.A) | Bug rectification
IT,Audio Logger
IT,Rajhans backup restored
IT,30342 | M.Engineering Tools | GST Invoice(Module) | Data rectification
Operations,Against intalio Print format
IT,Complaints help for resolution
Finance,CC STATEMNET Working
IT,Pritam Flow Checking
IT,General challan approval indent v7
IT,Backup - 10 Aug 23
IT,30345 | Siddhi International | RoutecardV1(Module) | Bug rectification
Operations,Today activity10.08
IT,Bsl casting
IT,M engg print file
IT,Modules IT
Other,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Entries Rectifications"
Training,Punit Discussion for flow BPr
Operations,Today's activities
IT,Audio Logger
IT,30370 | Omega Bright Steel Pvt Ltd. | Production(Module) | Bug rectification
IT,30374 | KRISHNA ENTERPRISES | N.A(N.A) | Bug rectification
IT,30375 | Marks Ancillaries | N.A(N.A) | Bug rectification
Marketing & Sales,Visit Gurgaon
Finance,Yaman industry
IT,Production Report Rework v7
Finance,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Seetech Raise Bill"
Finance,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Lawcrux Bill Raise"
IT,[Sub] 30405 | Rajhans Pressings Pv
IT,Audio recording for complaints and resolution mark
IT,30437 | ARVIND ENGINEERS (UNIT-III) | Purchase Order(Module) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30443 | Shiv Tools Engg. P."
Finance,Working On LLP
IT,Backup - 19 Aug 23
Finance,Bank Entry Error
Finance,Credit card statement entries - 08 Sep 23
IT,Backup - 09 Aug 23
IT,30319 | Karan Automotives Pvt. Ltd. | Sale Product Details (Party Wise)(Report) | Bug
IT,30322 | BSL Castings Pvt. Ltd. | Bank Reconcilation(Module) | Data rectification
Marketing & Sales,Write a review on Play Store
IT,30324 | Siddhi International | Stock at WIP Statement(Report) | Bug rectification
IT,30332 | JAYEM AUTO INDUSTRIES PVT. LTD.(SEC-6) | N.A(N.A) | Bug rectification
IT,30333 | CONDOR POWER PRODUCTS (P) LTD. | N.A(N.A) | Bug rectification
IT,30337 | Royal Auto Tech (Sec-58) | N.A(N.A) | Bug rectification
Operations,Take siddhi db backup
IT,Yaman industry print format
IT,Intalio backup
IT,30341 | KRISHNA ENTERPRISES | Instrument Master(Module) | Bug rectification
Finance,CC STATEMNETWORKING
Marketing & Sales,Visit plan in kadipur industrial area ayush auto
IT,30347 | M.Engineering Tools | Voucher(Module) | Bug rectification
IT,Complaints Help for resolution
Finance,Today work
IT,30348 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A)
IT,30349 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
IT,30352 | BSL Castings Pvt. Ltd. | N.A(N.A) | Bug rectification
Other,Audio logger2
IT,30362 | Bhupendra Steels Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,30365 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
Operations,Making Costing sheet
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30369 | Omega Bright Steel P"
Finance,Today work
IT,Costing Sheet V7
Finance,Bill For Indian Federation
IT,30393 | TAJ FORGINGS PVT. LTD | Purchase Order(Module) | Bug rectification
IT,30397 | Royal Auto Tech | N.A(N.A) | Bug rectification
IT,Seetech
Operations,Omega Route Card status and Grn issue
Finance,Gstr 2b Working
IT,30411 | PROMPTECH INDUSTRIAL PRODUCTS | Challan Out(Module) | Bug rectification
IT,Backup project to server - 11 Aug 23
HR,Trackhr evaluation - 11 Aug 23
IT,30354 | SWASTIK AUTOMECH PVT. LTD | Purchase Order(Module) | Bug rectification
IT,30360 | Omega Bright Steel Pvt Ltd. | Production(Module) | Bug rectification
Operations,Today's activities
IT,New Organisation Created
IT,30368 | PROMPTECH INDUSTRIAL PRODUCT | GST Invoice
IT,30376 | Alumex International | N.A(N.A) | Bug rect
IT,Bhatia alloy master tarnsfer
IT,30390 | Rajhans Industries | N.A(N.A) | License expire
Finance,Working On Ledgers
IT,Bsl Backup restored
IT,Backup - 17 Aug 23
IT,Help in Saac Complaints
Marketing & Sales,Walkin drive post
IT,[Sub] 30429 | YAMAN INDUSTRIES | N
IT,[Sub] 30436 | YAMAN INDUSTRIES | C
HR,Trackhr evaluation - 19 Aug 23
IT,[Sub] 30454 | BHATIA ALLOY FORGING
IT,30456 | Pooja Metal Processors Pvt Ltd | N.A(N.A) | EMS installation
IT,30457 | J.J. ENGINEERING WOR | N.A(N.A) | Bug rectification
IT,30458 | SAKET METAL TECHNOCRAFT | N.A(N.A) | Bug rectification
IT,30461 | Vinayakk Press Tools | N.A(N.A) | Bug rectification
IT,30464 | BSL Castings Pvt. Ltd. | Bank Reconcilation(Module) | Data rectification
IT,30465 | PROMPTECH INDUSTRIAL PRODUCT | N.A(N.A) | USer license count
Operations,Take backup and restore on server
Other,Ems Update On Laptop
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30441 | SWASTIK AUTOMECH PVT"
Other,Delete April Cc Entry
Finance,Today work 19.08.2023
Operations,Vinayak challan reco Pendency appearing
IT,IT Outlook Auto mail
IT,30469 | PMT ENGINEERS | N.A(N.A) | Bug rectificati
HR,Fill travelling expenses
IT,New Organisation Created
Operations,Take backup from Omega and restore on server
Operations,Take backup from intalio and restore on server
IT,Intalio modules screenshot
IT,30364 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | Bug rectification
IT,Promptech ems install
HR,Petty cash
Other,Audio Complaint Logger3
Operations,Ems and Sfm installation
IT,Complaints Discussion and resolution
IT,Crystal report help intalio
Marketing & Sales,Video shoot for daily reels - 12 Aug 23
Marketing & Sales,LinkedIn post - 12 Aug 23
Marketing & Sales,Influencer Marketing & PR - 12 Aug 23
Marketing & Sales,Crawl Errors - 15 Aug 23
Marketing & Sales,Broken Links - 15 Aug 23
Marketing & Sales,Loading Speed - 12 Aug 23
Marketing & Sales,Blog & Illustration - 12 Aug 23
Marketing & Sales,Review - 12 Aug 23
HR,Trackhr evaluation - 12 Aug 23
IT,30366 | OPB PRECITECH INDUSTRIES | N.A(N.A) | USer license count
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30370 | Omega Bright Steel P"
IT,Yaman industry
Operations,Today's activities
IT,30408 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | Bug rectification
Other,Punit sir problems and questions solution
IT,30434 | KRISHNA ENTERPRISES | Purchase Billbook(Module) | Bug rectification
Finance,Working On Two Suspense Ledger
IT,Complaints resolution help
IT,Backup project to server - 19 Aug 23
Marketing & Sales,Video shoot for daily reels - 19 Aug 23
Marketing & Sales,LinkedIn post - 19 Aug 23
Marketing & Sales,Influencer Marketing & PR - 19 Aug 23
Marketing & Sales,Loading Speed - 19 Aug 23
Marketing & Sales,Blog & Illustration - 20 Aug 23
Marketing & Sales,Review - 19 Aug 23
IT,30462 | TAJ FORGINGS PVT. LTD | N.A(N.A) | Bug rectification
Finance,CC ENTRIES
IT,EMS installation (Marks Ancillary)
Finance,CC Entries
IT,30361 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,30367 | BHATIA ALLOY FORGINGS PVT. LTD. | Purchase OrderV1(Module) | Bug rectificatio
IT,30377 | TAJ FORGINGS PVT. LTD | N.A(N.A) | Bug rectification
IT,Patrol InspectionV7
IT,Backup - 14 Aug 23
Marketing & Sales,"Visit At vision Rx lab pvt Ltd, Gurgaon"
IT,New Organisation Created
IT,30400 | Ajay Engineering Works | N.A(N.A) | Bug rectification
Finance,Today work
Operations,Omega meeting for client
IT,30420 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30424 | BHATIA ALLOY FORGING"
IT,"<small><font color=""#9E9E9E""><i>[Sub-2] </i></font></small>30437 | ARVIND ENGINEERS ("
Marketing & Sales,IT
IT,30441 | SWASTIK AUTOMECH PVT. LTD | Purchase Order(Module) | Bug rectification
Finance,Today ticket 18.08.23
Operations,Today's activities
Marketing & Sales,Client Visit -Plumtek
Operations,Intalio QR Code case
IT,30468 | PMT ENGINEERS | N.A(N.A) | Bug rectificati
Other,Delte One Entry
Training,Discussion For new customer
Operations,Jayem challan reco and Mengg saleorder issue
IT,[Sub] 30459 | Vinayakk Press Tools
IT,30476 | Vinayakk Press Tools | N.A(N.A) | Bug rectification
IT,30480 | Omega Bright Steel Pvt Ltd. | Material receipt(Module) | Data rectification
IT,30484 | Shiv Tools Engg. P. Ltd. Plant-II | N.A(N.A) | Bug rectification
HR,Monthly contribution Aug
IT,30487 | Omega Bright Steel Pvt Ltd. | N.A(N.A) | B
IT,30488 | Bhupendra Steels Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,30489 | PMT ENGINEERS | N.A(N.A) | Bug rectification
IT,[Sub] 30354 | SWASTIK AUTOMECH PVT
Operations,Today activity 1108
Marketing & Sales,Telephonic lead vision eye glass company Gurgaon
IT,Backup - 12 Aug 23
Operations,Today's activity1208
Marketing & Sales,Write a review on Play Store/App store
Other,Desk cleaning and room decoration
Other,Independence Day Decorations
Marketing & Sales,Plasto India Field Visit
Marketing & Sales,Send Software Suggest Review Mails
IT,New Organisation Created
IT,30425 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | Bug rectification
IT,30431 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | Bug rectification
IT,Arvind utility report
IT,Complaint slove time
IT,30445 | Royal Auto Tech | GST Invoice(Module) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30452 | Omega Bright Steel P"
IT,Print Environment and Masters data load & saving
IT,[Sub] 30444 | JAYEM AUTO INDUSTRIE
IT,30454 | BHATIA ALLOY FORGINGS PVT. LTD. | Debit Note(Module) | Bug rectification
IT,30467 | Bhupendra Steels Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30461 | Vinayakk Press Tools"
IT,IT and audio record and check resolved compla
IT,Adapter fixing and log digitalization app. Search
IT,30491 | TAJ FORGINGS PVT. LTD | N.A(N.A) | Bug rectification
IT,Audio record and check complaint
Marketing & Sales,Website design
IT,Vtool Complaints And Meeting Time
IT,Vtool Complaints and Meeting time
Training,TrackHR tranning
Marketing & Sales,New Website Lead
HR,Generate Email-Id
HR,Generate Offer Letter
IT,30496 | Rajhans Presssings Pvt. Ltd. (Unit-III) | MRN(Module) | Bug rectification
IT,30499 | CONDOR POWER PRODUCTS (P) LTD. | N.A(N.A) | Bug rectification
IT,[Sub-2] 30485 | PROMPTECH INDUSTRI
IT,30519 | PROMPTECH INDUSTRIAL PRODUCT | N.A(N.A) | USer license count
IT,30355 | Omega Bright Steel Pvt Ltd. | RoutecardV1(Module) | Bug rectification
IT,Complaints related to new IT
IT,Backup - 12 Aug 23
IT,Backup project to server - 12 Aug 23
IT,30371 | BHATIA ALLOY FORGINGS PVT. LTD. | RouteCar
IT,Marks complaint
Finance,PI For Pritam International
Finance,Seetech Raise Bill
IT,30396 | KRISHNA ENTERPRISES | N.A(N.A) | Bug rectification
IT,30404 | AUTOVEA COMPONENTS | N.A(N.A) | Bug rectification
IT,30405 | Rajhans Pressings Pvt. Ltd. (Unit-II) rudrapur | N.A(N.A) | Bug rectification
Operations,Today's activity 1608
IT,Omega Backup restored
IT,30416 | JAYEM AUTO INDUSTRIES PVT. LTD.(PRITHLA) | N.A(N.A) | Bug rectification
IT,30417 | Shiv Tools Engg. P. Ltd. Plant-II | Credit Note(Module) | Bug rectification
IT,30418 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | Bug rectification
Training,Help punit sir for routecard and erp discussion
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30437 | ARVIND ENGINEERS (UN"
IT,30443 | Shiv Tools Engg. P. Ltd. Plant-I | Accounts Ledger(Report) | Bug rectificatio
IT,30455 | PMT ENGINEERS | N.A(N.A) | Bug rectification
IT,S1/2 Royal tool 24
IT,S2/2 Royal tool 24
IT,30463 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,Complaints Resolution Help
IT,New Organisation Created
IT,30482 | J.J. ENGINEERING WORKS | N.A(N.A) | Bug rectification
IT,[Sub] 30463 | JAYEM AUTO INDUSTRIE
HR,Trackhr evaluation - 22 Aug 23
IT,30494 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | Bug rectification
IT,Jivek backup restored 22_08
IT,[Sub] 30450 | Omega Bright Steel P
IT,30502 | Bhupendra Steels Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,[Sub] 30502 | Bhupendra Steels Pvt
IT,Complaints Help for resolution omega and sidhi
IT,Account master create yaman
IT,Lawcrux bug
IT,Development sheets update
IT,30378 | TECHNOWELL AUTO INDIA LLP | N.A(N.A) | USer license count
IT,New Organisation Created
Other,Helping for decoration
Marketing & Sales,Write a review on Play Store/App store
Marketing & Sales,Lock Data Base
IT,30386 | Vinayakk Press Tools | N.A(N.A) | Bug rectification
IT,30389 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
Other,Watching YouTube video IOT and SQL
IT,Laptop Charger
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Audio Logger Complaints Modu"
IT,30414 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
IT,30415 | BSL Castings Pvt. Ltd. | Bank Reconcilation(Module) | Data rectification
IT,30424 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30425 | BHATIA ALLOY FORGING"
IT,30432 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | Bug rectification
Finance,Today work 17.08.2023
Operations,Today's activities
IT,Jindal fabrics
Marketing & Sales,New Website Lead
IT,30446 | M.Engineering Tools | Sale Schedule(Module) | New development
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30448 | Arvind Engineers | P"
Finance,Working On Task Recording
Training,Howkeye
IT,New Organisation Created
IT,30466 | Omega Bright Steel Pvt Ltd. | Sale Schedule(Module) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30466 | Omega Bright Steel P"
IT,30490 | Rajshree Industries Unit-II | N.A(N.A) | Bug rectification
Marketing & Sales,New Website Lead
IT,30493 | Rajhans Presssings Pvt. Ltd. (Unit-III) |
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30279 | Alumex International"
Operations,Today's activities
Operations,In House complaint
IT,[Sub] 30382 | YAMAN INDUSTRIES | N
IT,Audio Logger Complaints Module Name
Operations,Today's activity 1608
IT,Delete complaints From audio logger
Finance,Lawcrux Bill Raise
IT,30402 | J.J. ENGINEERING WOR | N.A(N.A) | Bug rectification
Finance,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Ganpati Arcade Bill"
IT,Marks ems install
Marketing & Sales,Video shoot for daily reels - 17 Aug 23
Marketing & Sales,LinkedIn post - 17 Aug 23
Marketing & Sales,Influencer Marketing & PR - 17 Aug 23
Marketing & Sales,Loading Speed - 17 Aug 23
Marketing & Sales,Blog & Illustration - 18 Aug 23
Marketing & Sales,Review - 17 Aug 23
Other,Gstn Details
IT,30419 | M.Engineering Tools | N.A(N.A) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30423 | BHATIA ALLOY FORGING"
Marketing & Sales,Client Visit -Hex Business Innovations
IT,30460 | Vinayakk Press Tools | N.A(N.A) | Bug rectification
Other,Excel Data Requirements Approval
Marketing & Sales,Reel
HR,Verify and organise basic stationary for all rooms
Marketing & Sales,New Website Lead
IT,Audio Recording new complaints and resolve mark
IT,Attendance machine works
IT,Audio complaint time 21 aug
HR,Joining formalities
Marketing & Sales,SMPP
IT,30495 | PROMPTECH INDUSTRIAL PRODUCTS | N.A(N.A) | Bug rectification
IT,Required One Working IT
HR,Petty cash
IT,IT bugs
IT,Development Discussion and strategy
IT,30517 | BSL Castings Pvt. Ltd. | N.A(N.A) | Bug rectification
Planning,Prepare stock at store report
IT,Backup project to server - 16 Aug 23
IT,[Sub] 30391 | CONDOR POWER ODUCTS
IT,30394 | Arvindo Hi-Tech Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,30399 | Ajay Engineering Works | N.A(N.A) | Bug rectification
IT,30401 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
Finance,Ganpati Arcade Bill
Finance,Gstr 2b Working
IT,Production flow and presentation
Finance,Entries Of 2b Bils In Software
IT,30412 | SRI AUROBINDO AUTOMOTIVE COMPONENTS | N.A(N.A) | Bug rectification
IT,30413 | JAYEM AUTO INDUSTRIES PVT. LTD. | Creditor Ledger(Report) | Bug rectification
Marketing & Sales,write a review on play store
Marketing & Sales,5m and email creation
IT,30433 | Rajhans Industries | Accounts Ledger(Report) | Data rectification
IT,Backup - 16 Aug 23
IT,Backup - 16 Aug 23
IT,30392 | Alumex International | Dispatch Advice II(Module) | Bug rectification
HR,Trackhr evaluation - 16 Aug 23
IT,30398 | Faridabad Bolt Tight Industries Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,30407 | Faridabad Bolt Tight Industries Pvt. Ltd. | N.A(N.A) | Bug rectification
IT,Audio Recording Complaints
IT,30410 | M.Engineering Tools | N.A(N.A) | Bug rectification
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>30412 | SRI AUROBINDO AUTOMO"
IT,30426 | JAYEM AUTO INDUSTRIES PVT. LTD. | N.A(N.A) | Bug rectification
IT,30429 | YAMAN INDUSTRIES | N.A(N.A) | Bug rectification
IT,"Child part ,finish ,raw ,consumable default value"
IT,Audio Compalint solving Time19 aug
IT,30478 | BHATIA ALLOY FORGINGS PVT. LTD. | N.A(N.A) | Bug rectification
Marketing & Sales,New Website Lead
IT,30483 | SUPERCUT ENGINEERING WORKS | N.A(N.A) | Bu
IT,Jayem backup
IT,Test
Training,SQL and VS CODE
IT,30498 | Ajay Engineering Works | N.A(N.A) | Bug rectification
IT,30503 | Ajay Engineering Works | N.A(N.A) | Bug rectification
IT,30511 | J.J. ENGINEERING WORKS | N.A(N.A) | Bug rectification
Marketing & Sales,Website
IT,30512 | Alumex International | Job Order (ISP)(Module) | Data rectification
